0;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09;0.1;0.11;0.12;0.13;0.14;0.15;0.16;0.17;0.18;0.19;0.2;0.21;0.22;0.23;0.24;0.25;0.26;0.27;0.28;0.29;0.3;0.31;0.32;0.33;0.34;0.35;0.36;0.37;0.38;0.39;0.4;0.41;0.42;0.43;0.44;0.45;0.46;0.47;0.48;0.49;0.5;0.51;0.52;0.53;0.54;0.55;0.56;0.57;0.58;0.59;0.6;0.61;0.62;0.63;0.64;0.65;0.66;0.67;0.68;0.69;0.7;0.71;0.72;0.73;0.74;0.75;0.76;0.77;0.78;0.79;0.8;0.81;0.82;0.83;0.84;0.85;0.86;0.87;0.88;0.89;0.9;0.91;0.92;0.93;0.94;0.95;0.96;0.97;0.98;0.99
0,1033;0,1032;0,1029;0,1025;0,1147;0,1206;0,1449;0,1564;0,1632;0,1883;0,211;0,2402;0,2766;0,3067;0,3566;0,4033;0,4493;0,4948;0,5362;0,5951;0,6392;0,6858;0,7234;0,7711;0,8191;0,8516;0,8751;0,8992;0,9251;0,9409;0,9505;0,967;0,975;0,9842;0,9901;0,9556;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,1015;0,0991;0,1026;0,1113;0,1194;0,1266;0,1537;0,172;0,19;0,2263;0,2667;0,3051;0,3534;0,4278;0,4806;0,5376;0,6132;0,6784;0,7469;0,7979;0,8446;0,8897;0,9221;0,9474;0,9668;0,9778;0,9854;0,9916;0,9957;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,1007;0,0996;0,1037;0,1114;0,1234;0,1405;0,1641;0,1771;0,2227;0,2564;0,3167;0,3702;0,4487;0,513;0,5994;0,6676;0,7333;0,8057;0,8631;0,9062;0,9408;0,962;0,9785;0,99;0,9955;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,1004;0,1012;0,1069;0,1153;0,1284;0,1414;0,1742;0,1979;0,2453;0,2978;0,352;0,4256;0,5094;0,587;0,671;0,7599;0,8229;0,8886;0,9288;0,9599;0,9802;0,9878;0,9951;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,101;0,1028;0,1082;0,1201;0,1283;0,1522;0,184;0,2221;0,2693;0,3265;0,3897;0,4772;0,5669;0,652;0,7446;0,8255;0,8849;0,9336;0,9621;0,9841;0,9931;0,9973;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,105;0,1023;0,108;0,1177;0,1379;0,1577;0,1913;0,2348;0,3;0,3591;0,4336;0,5364;0,6185;0,711;0,7999;0,8752;0,9309;0,9632;0,9825;0,9921;0,9982;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0938;0,1043;0,1102;0,1236;0,1381;0,1655;0,1994;0,2541;0,3057;0,3936;0,471;0,566;0,6727;0,7694;0,8463;0,9127;0,9569;0,9785;0,993;0,9966;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0977;0,0999;0,1134;0,1178;0,1417;0,1638;0,2122;0,2558;0,3239;0,4129;0,5136;0,6143;0,7057;0,8051;0,8854;0,9363;0,9714;0,987;0,9959;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,1008;0,1067;0,1088;0,1263;0,1538;0,1725;0,2131;0,2717;0,343;0,4283;0,5298;0,6406;0,7529;0,8427;0,916;0,9577;0,9821;0,9937;0,9983;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0965;0,1017;0,1083;0,1262;0,1528;0,179;0,2259;0,2785;0,3651;0,4557;0,5702;0,6825;0,7837;0,87;0,9308;0,9685;0,9878;0,9966;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,099;0,1064;0,1137;0,1317;0,1528;0,2083;0,2634;0,3372;0,4483;0,5639;0,6912;0,8063;0,897;0,9501;0,9843;0,9954;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0976;0,1015;0,1132;0,1325;0,1738;0,2163;0,2902;0,3968;0,5179;0,6523;0,7804;0,8843;0,9476;0,9852;0,9951;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0956;0,1041;0,1184;0,1361;0,184;0,2362;0,3235;0,4474;0,5865;0,7256;0,852;0,9362;0,9788;0,9947;0,9989;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0989;0,1014;0,1227;0,141;0,1908;0,2591;0,3555;0,4838;0,6352;0,7822;0,8936;0,9615;0,9906;0,9982;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0967;0,1073;0,1176;0,1547;0,1958;0,2813;0,387;0,5292;0,6743;0,8285;0,9303;0,9812;0,9968;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,104;0,1053;0,1231;0,157;0,2136;0,2927;0,4156;0,5626;0,733;0,8672;0,953;0,9889;0,9977;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,099;0,1025;0,1248;0,1612;0,2228;0,3055;0,4386;0,5974;0,7662;0,8978;0,9661;0,9932;0,9994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0,0977;0,1023;0,1324;0,1643;0,2175;0,3254;0,4719;0,634;0,7991;0,9136;0,9762;0,9961;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
